2024-12-05 00:00:00,5,5,4,1,5,2,4,5,1,Quay
2024-12-05 00:00:00,5,5,5,5,5,4,5,5,5,Regan
2024-12-05 00:00:00,5,5,5,5,5,3,5,5,3,Samir
2024-12-07 00:00:00,2,5,4,2,5,3,3,5,1,Quay
2024-12-07 00:00:00,1,1,3,3,5,3,4,5,1,Quay
2024-12-09 00:00:00,5,3,2,2,4,2,2,1,5,Quay
2024-12-09 00:00:00,2,2,1,2,5,3,1,1,1,Quay
2024-12-09 00:00:00,2,5,1,1,1,4,1,4,2,Quay
2024-12-09 00:00:00,1,1,1,2,4,1,1,1,1,Mike
2024-12-11 00:00:00,3,5,1,1,5,2,3,1,5,Quay
2024-12-11 00:00:00,3,4,5,1,5,3,1,1,4,Quay
2024-12-11 00:00:00,5,2,3,1,5,1,2,3,5,Reese
2024-12-11 00:00:00,1,5,5,3,1,2,4,5,5,Reese
2024-12-11 00:00:00,1,5,5,1,5,4,1,2,5,Mike
2024-12-14 00:00:00,1,2,5,1,5,3,1,2,1,Quay
2024-12-14 15:02:50,5,1,1,4,4,1,3,2,5,Quay
2024-12-14 15:03:08,5,2,4,1,2,4,2,3,1,Reese
